Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next,ingredients
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30,IMG_20180327_174117059.jpg (https://dl.airtable.com/Ispbhu7sSgGPxh91EYGf_IMG_20180327_174117059.jpg),,,"Coconut milk,Noodles",,https://www.budgetbytes.com/thai-curry-vegetable-soup/,07/11/2018,8/27/2018,"coconut milk,noodles"
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://dl.airtable.com/GYExvowQaymPhacQjUot_IMG_20180401_180911317_HDR.jpg),,,"Chicken,Rice",,,04/01/2018,05/01/2018,"chicken,rice"
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Can throw in carrots as well,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://dl.airtable.com/k1I6BSNpT9KIRG1NgURE_IMG_20180401_180921951_HDR.jpg),,,Parsnips,,,04/01/2018,4/21/2018,parsnips
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Potatoes for 25 min then aspargus for 15,Main Dish,40,,,,"Potatoes,Asparagus",,http://wallflowerkitchen.com/balsamic-roasted-new-potatoes-asparagus/,3/30/2018,5/16/2018,"potatoes,asparagus"
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,,,,"Quinoa,Brussels Sprouts ,Sweet potato",,https://laurenkellynutrition.com/sweet-potato-brussels-sprout-quinoa-bowl/,12/30/2018,1/29/2019,"quinoa,brussels sprouts ,sweet potato"
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://dl.airtable.com/1wUmqwJ6Qk2UbBTx57C5_IMG_20180430_173418382_HDR.jpg),,,"Quinoa,Cabbage,Peanut",,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/,2/16/2019,3/18/2019,"quinoa,cabbage,peanut"
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,,Main Dish,30,,,,"Orzo,Asparagus",,https://www.thegardengrazer.com/2018/03/lemon-garlic-orzo-with-asparagus.html,6/13/2018,7/30/2018,"orzo,asparagus"
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,,Main Dish,60,IMG_20180416_180744528.jpg (https://dl.airtable.com/Lxd3sASyRkuz5wtkRYfR_IMG_20180416_180744528.jpg),,,"Sweet potato,Lentils,Spinach,Onion,Carrots",,https://monkeyandmekitchenadventures.com/moroccan-sweet-potato-lentil-stew/,4/16/2018,06/02/2018,"sweet potato,lentils,spinach,onion,carrots"
Chia Crusted Salmon,⭐⭐⭐⭐,Fairly Easy,SO GOOD,Main Dish,20,IMG_20180406_181053651.jpg (https://dl.airtable.com/N8ZoDfnOTrWDiHApmq9Q_IMG_20180406_181053651.jpg),,,"Salmon,Chia",,https://houseandhome.com/recipe/chia-crusted-salmon-recipe/,08/04/2018,09/03/2018,"salmon,chia"
Pinto Beans and Tomatillo Cilantro Lime Rice,⭐⭐⭐⭐⭐,Hard,Amazing flavor,Main Dish,60,IMG_20180418_174202925.jpg (https://dl.airtable.com/WN8zJfvxRxqgmULbID0m_IMG_20180418_174202925.jpg),,,"Beans,Rice,Onion,Tomatillo,Lime,Garlic",,https://www.thecuriouschickpea.com/mexican-pinto-beans-and-tomatillo-cilantro-lime-rice/,2/17/2019,03/09/2019,"beans,rice,onion,tomatillo,lime,garlic"
Thai Squash Soup,⭐⭐⭐,Average,,Main Dish,60,IMG_20180424_190711006_HDR.jpg (https://dl.airtable.com/L6IKHNYoTxNx0F6viWSM_IMG_20180424_190711006_HDR.jpg),,,"Squash,Coconut milk,Peanut,Onion,Garlic,Carrots,Cilantro",,http://hostthetoast.com/thai-coconut-curry-butternut-squash-soup/,4/17/2018,06/03/2018,"squash,coconut milk,peanut,onion,garlic,carrots,cilantro"
Roasted Carrot & Peanut Sauce,⭐⭐⭐⭐⭐,Average,Ask Luke for recipe link,Main Dish,75,IMG_20180426_174238611_HDR.jpg (https://dl.airtable.com/IPMn4yZhTmOK0Ku5NXUj_IMG_20180426_174238611_HDR.jpg),,,"Carrots,Peanut,Cilantro",,https://pinchofyum.com/lentil-curry-bowls-with-cilantro-cashew-sauce,02/11/2019,03/03/2019,"carrots,peanut,cilantro"
Majoram White Wine Chicken,⭐⭐⭐⭐,Average,,Main Dish,120,IMG_20180609_195012555_HDR.jpg (https://dl.airtable.com/2ZnjAe1ZSa6NFJsiqi2I_IMG_20180609_195012555_HDR.jpg),Pinterest,,"Chicken,Wine",,https://www.foodandwine.com/recipes/wine-baked-chicken-legs-with-marjoram,01/08/2019,02/07/2019,"chicken,wine"
Marjoram Carrots,⭐⭐⭐⭐⭐,Fairly Easy,,Side Dish,30,IMG_20180609_195018909_HDR.jpg (https://dl.airtable.com/82XXfnHVTrm0STEkmhv2_IMG_20180609_195018909_HDR.jpg),Pinterest,,"Carrots,Garlic",,https://www.foodandwine.com/recipes/sauteed-carrots-lemon-and-marjoram,01/08/2019,1/28/2019,"carrots,garlic"
Soy Mustard Salmon,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180616_181210927_HDR.jpg (https://dl.airtable.com/h3gpuKEWTjqEPMc6WspQ_IMG_20180616_181210927_HDR.jpg),Sheet Pan Recipes,84,"Salmon,Soy Sauce,Dijon Mustard,Garlic,Ginger",,,6/16/2018,7/16/2018,"salmon,soy sauce,dijon mustard,garlic,ginger"
Chive Butter Radishes,,,,,,,,,,,,6/16/2018,6/16/2018,
Mango Chutney,⭐⭐⭐,Average,"Lots of chopping but easy clean up
Use less spices to allow mango and feta flavors more room",Side Dish,30,IMG_20180617_185026265_HDR.jpg (https://dl.airtable.com/a3kwI7QQa17lWswLMWQH_IMG_20180617_185026265_HDR.jpg),Sheet Pan Recipes,,"Mango,Cheese,Apple,Raisins,Bell Pepper,Jalopeno Pepper",,,09/02/2018,10/19/2018,"mango,cheese,apple,raisins,bell pepper,jalopeno pepper"
Vegetarian Chili,,,,Main Dish,,,Taste of Home,260,"Vegetarian,Tomatoes",,,07/08/2018,07/08/2018,"vegetarian,tomatoes"
Sweet Potato Breakfast Burritos,⭐⭐⭐⭐,,,Main Dish,,,,,Sweet potato,,https://www.ambitiouskitchen.com/healthy-sweet-potato-black-bean-avocado-breakfast-burritos/,11/01/2018,12/01/2018,sweet potato
Roasted Sweet Potato Lentil Salad,⭐⭐⭐⭐⭐,Fairly Easy,"Super healthy and yummy.

Combined two rexpies, use 1 c lentils, 3 sweet potatoes and add more celery and spinach.

Also use 1/4 tsp each paprika and cumin in dressing.",Salad,45,Image 07 July 2018 02:45 PM.jpg (https://dl.airtable.com/5KPvQeAXSRm27NUIKalB_Image%2007%20July%202018%2002%3A45%20PM.jpg),Pinterest,,"Lentils,Sweet potato,Spinach,celery",,https://www.melskitchencafe.com/roasted-sweet-potato-lentil-salad/,1/17/2019,02/06/2019,"lentils,sweet potato,spinach,celery"
Cornbread,⭐⭐⭐,Fairly Easy,,Side Dish,40,Image 15 July 2018 05:04 PM.jpg (https://dl.airtable.com/D5frhumORFmlVJhrRAiz_Image%2015%20July%202018%2005%3A04%20PM.jpg),Taste of Home,450,"Butter,Milk,Flour,Corn Meal,Baking Powder",,,07/08/2018,8/24/2018,"butter,milk,flour,corn meal,baking powder"
Brussel Honey Lentil Quinoa,⭐⭐⭐,Fairly Easy,,Main Dish,,Image 17 July 2018 05:44 PM.jpg (https://dl.airtable.com/Htecx3pBQnCGvOzxf4na_Image%2017%20July%202018%2005%3A44%20PM.jpg),,,"Brussels Sprouts ,Quinoa,Lentils,Onion",,https://www.thekitchn.com/recipe-honey-roasted-sprouts-and-lentils-and-quinoa-249782,10/15/2018,12/01/2018,"brussels sprouts ,quinoa,lentils,onion"
Lentil Sweet Potato Curry,⭐⭐⭐⭐,Average,,Main Dish,60,Image 30 July 2018 07:44 PM.jpg (https://dl.airtable.com/YOJBMNefQv29UwtbuE9Y_Image%2030%20July%202018%2007%3A44%20PM.jpg),Taste of Home,262,"Sweet potato,Apple,Lentils,Onion,Garlic,Tomatoes,Rice",,,7/30/2018,8/29/2018,"sweet potato,apple,lentils,onion,garlic,tomatoes,rice"
Gnocci and white beans,⭐⭐⭐⭐,Average,,Main Dish,30,,Taste of Home,258,"Beans,Spinach,Tomatoes,gnocchi,Cheese",,,02/03/2019,03/05/2019,"beans,spinach,tomatoes,gnocchi,cheese"
Pad Thai,⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,,"Vegetarian,Noodles",,,12/05/2018,1/21/2019,"vegetarian,noodles"
Kung Pao Chicken,⭐⭐,Fairly Easy,"Would be better with chicken breast, not legs",Main Dish,,IMG_20180825_175504336_HDR.jpg (https://dl.airtable.com/M2GZNJxvTYOV5VX3EheB_IMG_20180825_175504336_HDR.jpg),,,"Chicken,Peanut,Water chestnuts",,,11/20/2018,1/21/2019,"chicken,peanut,water chestnuts"
Mediterranean Tuna Steaks,⭐⭐⭐,Fairly Easy,Make some rice to go with it,Main Dish,,IMG_20180914_181912580_HDR.jpg (https://dl.airtable.com/2v9XAw2aQOa8wlc7YUkZ_IMG_20180914_181912580_HDR.jpg),,,"Tuna,Capers",,https://howtofeedaloon.com/mediterranean-tuna-steaks/,9/14/2018,10/31/2018,"tuna,capers"
Spicy Black Bean Nachos,⭐⭐,,,Main Dish,,,,,"Beans,Adobo Chile",,https://www.mexicanplease.com/spicy-black-bean-nachos/,9/17/2018,11/18/2018,"beans,adobo chile"
Tomato Basil Soup,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180916_182754746.jpg (https://dl.airtable.com/pUNgiikTgic2Feb6sFJT_IMG_20180916_182754746.jpg),Good Housekeeping,60,"Tomatoes,Basil",,,01/12/2019,02/11/2019,"tomatoes,basil"
Chewy Chocolate Chip COokies,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,30,IMG_20180804_143434172_HDR.jpg (https://dl.airtable.com/vYlUBdkT16vKeQXngAv9_IMG_20180804_143434172_HDR.jpg),Pinterest,,"Butter,Chocolate Chips,Flour",,https://www.ihearteating.com/chewy-brown-sugar-chocolate-chip-cookie-recipe/,09/10/2018,9/30/2018,"butter,chocolate chips,flour"
Quinoa Peanut Kale Curry,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180823_204308156_HDR.jpg (https://dl.airtable.com/LotaAJcfThuaSjc7ZVaL_IMG_20180823_204308156_HDR.jpg),,,"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk",,https://www.cookinglight.com/recipes/chickpea-and-kale-curry,12/28/2018,1/27/2019,"quinoa,kale,peanut,cilantro,onion,coconut milk"
Sweet Potato Lentil Curry with Pickled Onion,⭐⭐⭐⭐,Average,,Main Dish,60,"IMG_20180813_172915204_HDR.jpg (https://dl.airtable.com/76ljOa9gTZy6dRcOWWZn_IMG_20180813_172915204_HDR.jpg),IMG_20180813_172921095_HDR.jpg (https://dl.airtable.com/ZHKfkaTbSEmIc5eOqNmc_IMG_20180813_172921095_HDR.jpg)",,,"Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro",checked,https://www.cookinglight.com/recipes/sweet-potato-and-red-lentil-curry,02/02/2019,03/04/2019,"sweet potato,red onion,lentils,ginger,coconut milk,cilantro"
Sardine Mediterranean Pasta,⭐⭐⭐,Fairly Easy,,Main Dish,30,IMG_20180814_172611816_HDR.jpg (https://dl.airtable.com/Cv4UX7J3QaJYozusHOHz_IMG_20180814_172611816_HDR.jpg),,,"Sardine,Capers,Shallots,Lemon,Parsley",,https://toriavey.com/toris-kitchen/mediterranean-sardine-lemon-pasta/,02/04/2019,3/23/2019,"sardine,capers,shallots,lemon,parsley"
Prosciutto apple flatbread pizza,⭐⭐⭐,Fairly Easy,,Main Dish,45,,Sheet Pan Suppers,,"Apple,Prosciutto,Cheese",,,9/23/2018,11/09/2018,"apple,prosciutto,cheese"
Dill Cucumber Salmon,⭐⭐⭐⭐,Average,,Main Dish,30,Image 23 September 2018 09:05 AM.jpg (https://dl.airtable.com/XfMt4e9hQE2BXDmESicD_Image%2023%20September%202018%2009%3A05%20AM.jpg),Sheet Pan Suppers,,"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion",,,11/02/2018,12/02/2018,"fish,yogurt,cucumber,dill,broccoli,red onion"
Vegetable Couscous,⭐⭐⭐⭐⭐,,,Main Dish,,,Good Housekeeping,380,"Couscous,Green Onion,Carrots",,,1/30/2019,2/19/2019,"couscous,green onion,carrots"
Talapia Tacos,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Sheet Pan Suppers,90,Tilapia,,,10/26/2018,11/25/2018,tilapia
Roasted Mackerel,,,,,,,Taste of Home,,,,,11/30/2018,11/30/2018,
Lentil Salsa Soup,⭐⭐⭐⭐,,,,,,Taste of Home,,,,,12/07/2018,01/06/2019,
Pesto Tomato Penne,⭐⭐⭐,Super Simple,,Main Dish,20,,,,Pesto,,https://www.foodnetwork.com/recipes/giada-de-laurentiis/penne-with-sun-dried-tomato-pesto-recipe-1942250,1/13/2019,03/01/2019,pesto
Black Bean Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste From Home,,,,,2/13/2019,3/15/2019,
Balsamic Pork Chops,,,,,,,,,,,,2/14/2019,2/14/2019,
